,YYYY,team,name,birth,WAR,G,CG,SHO,GS,W,L,SV,HLD,INN,R,ER,BF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WPA,salary,salary_log
105,2022,DYNOS,한재승,2001-11-21,0.26,12,0,0,0,0,0,0,2,10.2,4,3,54,13,2,0,0,10,1,1,11,0.0,0.0,2.53,4.09,2.16,160.9,100.6,0.02,3000.0,8.006367567650246
106,2022,WYVERNS,서동민,1994-03-07,0.26,20,0,0,0,1,1,0,5,21.0,11,6,86,13,3,0,3,11,0,1,19,0.0,3.0,2.57,5.1,1.14,161.9,82.5,0.78,4000.0,8.294049640102028
107,2022,TWINS,이지강,1999-07-02,0.25,4,0,0,1,0,0,0,0,11.0,6,6,56,12,2,0,0,13,0,0,6,0.0,1.0,4.91,5.79,2.27,81.0,70.6,0.14,3000.0,8.006367567650246
108,2022,LIONS,이승민,2000-08-26,0.23,2,0,0,0,0,0,0,0,5.1,1,1,23,2,1,0,0,5,0,0,2,0.0,0.0,1.69,5.4,1.31,247.4,75.0,0.11,4100.0,8.318742252692399
109,2022,BEARS,김강률,1988-08-28,0.23,26,0,0,0,3,4,9,1,24.2,13,12,110,28,6,0,2,8,2,2,15,0.0,1.0,4.38,4.15,1.46,90.9,96.0,-0.35,22500.0,10.021270588192511
110,2022,TWINS,채지선,1995-07-11,0.22,3,0,0,0,0,0,0,1,3.0,0,0,10,1,0,0,0,0,0,1,2,0.0,0.0,0.0,3.01,0.33,132.41153846153844,135.5,0.16,4000.0,8.294049640102028
111,2022,LIONS,김대우,1988-11-21,0.2,4,0,0,0,1,0,0,0,4.1,1,1,16,4,0,0,0,0,0,0,5,0.0,0.0,2.08,1.03,0.92,201.0,389.6,0.08,12000.0,9.392661928770137
112,2022,TIGERS,박시영,1989-03-10,0.19,17,0,0,0,0,2,0,5,15.2,8,8,68,19,1,0,2,4,1,0,11,0.0,0.0,4.6,4.17,1.47,89.6,98.0,-0.23,12000.0,9.392661928770137
113,2022,LIONS,이승현,2002-05-19,0.19,58,0,0,0,2,4,1,14,47.2,28,24,212,43,10,1,5,21,2,3,57,0.0,6.0,4.53,3.7,1.34,92.1,112.0,-1.38,5500.0,8.612503371220562
114,2022,BEARS,임창민,1985-08-25,0.19,32,0,0,0,0,0,2,6,27.1,15,12,124,26,1,0,3,10,0,3,21,0.0,1.0,3.95,4.66,1.32,100.7,84.9,-1.35,12000.0,9.392661928770137
115,2022,TIGERS,윤중현,1995-04-25,0.18,47,0,0,0,3,1,0,5,53.2,32,30,240,63,8,0,4,14,0,5,27,0.0,1.0,5.03,4.36,1.44,81.0,93.9,-0.65,6500.0,8.779557455883728
