birth||name,year||team||pos,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA
1997-01-27 || 안상현,22S2B,0.03,46,47,38,12,6,0,0,2,12,5,2,0,5,1,0,12,2,3,0,0.158,0.273,0.316,0.589,0.261,50.6,-0.29
1989-06-07 || 이형종,22LDH,0.03,26,63,53,3,14,3,0,0,17,7,0,0,5,1,0,10,0,1,3,0.264,0.323,0.321,0.643,0.296,80.5,0.27
2003-04-25 || 박찬혁,22키DH,0.03,52,175,161,13,34,5,0,6,57,17,0,1,9,5,0,67,1,0,0,0.211,0.274,0.354,0.628,0.291,81.8,-0.36
2002-02-15 || 안재석,22두SS,0.02,99,264,235,22,50,10,0,3,69,17,4,0,19,4,1,71,5,4,2,0.213,0.281,0.294,0.574,0.267,61.8,-0.88
1999-07-29 || 강백호,22KDH,0.02,62,264,237,24,58,12,0,6,88,29,0,0,23,1,2,44,6,1,2,0.245,0.312,0.371,0.683,0.312,88.8,0.16
1996-12-18 || 김동진,22삼2B,0.02,5,4,4,0,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0.25,0.25,0.5,0.75,0.33,104.7,0.02
1998-04-30 || 전진영,22KRF,0.02,4,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.667,0.314,89,0
1996-01-11 || 박계범,22두3B,0.02,77,168,145,21,32,8,0,2,46,14,5,3,12,3,1,40,1,6,2,0.221,0.29,0.317,0.607,0.273,66.4,-0.89
1998-12-20 || 박유연,22두C,0.01,13,19,17,0,4,0,0,0,4,2,0,0,1,1,0,5,1,0,0,0.235,0.316,0.235,0.551,0.276,64.6,0.04
1995-09-01 || 안중열,22롯C,0.01,33,84,71,8,11,0,0,2,17,2,0,1,11,2,0,19,2,0,0,0.155,0.286,0.239,0.525,0.262,55.7,-0.51
1998-04-10 || 이정범,22SRF,0,7,11,11,2,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0.273,0.273,0.273,0.546,0.257,53,-0.03
1991-07-12 || 최용제,22두,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,,,0.749,,0.03
