,YYYY,team,pos,name,birth,WAR,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WPA,salary,key,key_fnl,most_value_fnl,salary_log
69,2022,BEARS,CF,정수빈,1990-10-07,1.13,127,455,405,58,105,12,4,3,134,41,15,8,39,1,1,56,2,6,4,0.259,0.323,0.331,0.654,0.303,85.3,0.81,60000,정수빈1990-10-07,정수빈1990-10-07,CF,11.002099841204238
70,2022,LIONS,3B,이원석,1986-10-21,1.12,88,335,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.345,110.2,1.31,30000,이원석1986-10-21,이원석1986-10-21,3B,10.308952660644293
71,2022,TIGERS,1B,황대인,1996-02-10,1.08,129,524,476,40,122,27,0,14,191,91,0,0,36,7,2,92,20,0,5,0.256,0.315,0.401,0.716,0.327,100.0,-1.18,6500,황대인1996-02-10,황대인1996-02-10,1B,8.779557455883728
72,2022,WYVERNS,1B,전의산,2000-11-25,1.0,77,266,241,36,60,15,1,13,116,45,0,0,24,0,3,84,6,0,1,0.249,0.316,0.481,0.797,0.353,114.0,0.2,3000,전의산2000-11-25,전의산2000-11-25,1B,8.006367567650246
73,2022,EAGLES,3B,김태연,1997-06-10,0.95,119,464,404,46,97,18,0,7,136,53,3,2,48,5,1,106,9,3,4,0.24,0.325,0.337,0.662,0.31,89.1,-1.45,5600,김태연1997-06-10,김태연1997-06-10,3B,8.630521876723241
74,2022,TIGERS,2B,오윤석,1992-02-24,0.84,111,337,286,23,67,13,0,6,98,37,2,1,34,6,0,69,9,5,6,0.234,0.322,0.343,0.665,0.308,86.1,0.26,9000,오윤석1992-02-24,오윤석1992-02-24,2B,9.104979856318357
75,2022,BEARS,1B,김민혁,1996-05-03,0.79,38,97,88,11,25,2,0,5,42,16,0,0,7,2,0,25,6,0,0,0.284,0.351,0.477,0.828,0.377,142.7,0.11,3200,김민혁1996-05-03,김민혁1996-05-03,1B,8.070906088787819
76,2022,TIGERS,C,김민식,1989-06-28,0.76,104,266,222,30,49,9,1,2,66,28,0,0,32,2,1,45,4,7,3,0.221,0.321,0.297,0.618,0.288,73.4,-0.99,8800,김민식1989-06-28,김민식1989-06-28,C,9.082507000466299
77,2022,EAGLES,1B,김인환,1994-01-28,0.73,113,429,398,48,104,14,0,16,166,54,2,0,24,3,2,111,4,0,4,0.261,0.305,0.417,0.722,0.327,100.3,-1.43,3200,김인환1994-01-28,김인환1994-01-28,1B,8.070906088787819
78,2022,TIGERS,3B,김도영,2003-10-02,0.72,103,254,224,37,53,11,4,3,81,19,13,3,22,3,0,62,3,4,1,0.237,0.312,0.362,0.674,0.309,88.1,-0.53,3000,김도영2003-10-02,김도영2003-10-02,3B,8.006367567650246
